Start Date,End Date,Trigger Words,Tweet Count,Tweet0,Tweet0 Timestamp,Tweet1,Tweet1 Timestamp,Tweet2,Tweet2 Timestamp,Tweet3,Tweet3 Timestamp,Tweet4,Tweet4 Timestamp,Tweet5,Tweet5 Timestamp,Tweet6,Tweet6 Timestamp,Tweet7,Tweet7 Timestamp,Tweet8,Tweet8 Timestamp,Tweet9,Tweet9 Timestamp
25/09/2019,02/10/2019,"['malaria', 'fight', 'child', 'progress', 'friend', 'time', 'delight', 'birthday']",5,"""I’m delighted that @erna_solberg has re-upped Norway’s commitment to support the work of the @GlobalFund. I welcome her sustained leadership and partnership in the fight against AIDS, TB, and malaria. https://t.co/2NTVVpmEul""",2019-10-02 05:29:00,"""Most people know @AlikoDangote as Africa’s wealthiest man, but I know him as one of our foundation’s most impactful partners in improving health. Melinda and I are lucky to count him as a partner (and friend!) in our work. https://t.co/9Pk8seLGpi""",2019-10-01 19:48:00,"""More and more children are living to see their 5th birthdays. That’s because the world has made incredible progress in reducing child mortality. But progress has been uneven. We have more work to do to close the gaps across countries and within them. https://t.co/TaeiqkLD0U""",2019-09-30 16:23:00,"""It's really incredible how much time and effort goes into producing a documentary like the new @netflix series I participated in. I shared more about the experience on my blog: https://t.co/BgTeiguaFf https://t.co/UzqI251nxU""",2019-09-27 14:20:00,""".@sanchezcastejon’s commitment to the @GlobalFund reflects Spain’s leadership. At a time when more countries are turning inward, Spain is showing that we can’t back away from our commitment to fighting poverty and disease. https://t.co/H0ffOpSGr9""",2019-09-25 19:34:00,,,,,,,,,,
03/10/2019,10/10/2019,"['friend', 'passion', 'money', 'hawk']",4,"""I’m in Lyon, France for the @GlobalFund’s replenishment – celebrating the most money ever raised for their life-saving work. I’m excited for the day that these diseases are in the history books. #StepUptheFight https://t.co/isnpGkyNWE""",2019-10-10 17:04:00,"""In Afghanistan, one of the last countries with polio, vaccine acceptance rates have reached 98% thanks to the tireless work of female health workers. Their increased involvement and passion is why polio eradication is within reach in Afghanistan. https://t.co/v2yPVeSCiz""",2019-10-09 20:09:00,"""Malnutrition is the greatest health inequity in the world. I recently spoke with my friend @AlikoDangote about how we can use iodized salt to help kids gets the nutrients they need: https://t.co/PXp3WeJfEy https://t.co/qpQ51LWZuf""",2019-10-08 21:41:00,"""I’m lucky to have known Stephen Hawking — and he was as exceptional in person as you imagined he was. As remarkable as his contributions to physics were, his biggest accomplishment was inspiring the world to believe in the magic of science and research. https://t.co/FxiyzmBTuz""",2019-10-07 18:26:00,,,,,,,,,,,,
11/10/2019,18/10/2019,"['fight', 'friend', 'progress', 'proud', 'passion']",4,"""The world is facing a crisis at the dinner table, one that climate change will only worsen. I’m optimistic about the progress being made by @RIPEproject on a much-needed breakthrough. https://t.co/pzM61gDdWE""",2019-10-18 20:00:00,"""The odds of dying of AIDS in South Africa are less than half what they were at the peak. That progress wouldn’t have been possible without the @GlobalFund and other global health organizations. Even more progress is possible if we keep up the fight: https://t.co/71W2exSVZT https://t.co/f2gJwuIb9H""",2019-10-15 19:58:00,"""I’m impressed by the international cooperation that made this year’s @GlobalFund Replenishment round possible. The world has committed more than ever before. Our foundation is proud to commit $700 million to over the next 3 years. #StepUptheFight https://t.co/mfuamNyygd""",2019-10-11 20:00:00,"""I can’t think of a more fitting tribute to Hans Rosling and his life’s work. Hans was a dear friend to Melinda and me – and inspired us all with his passion, intelligence, and wit. https://t.co/gYfioNQBuW""",2019-10-11 18:00:00,,,,,,,,,,,,
19/10/2019,26/10/2019,"['progress', 'time', 'fight', 'farm']",5,"""One of the best parts of my job is getting to work with some of the world’s most brilliant minds on seemingly intractable problems. Here’s how we’re trying to tackle one of the defining technical challenges of our time. https://t.co/F2Wd8vM4ia""",2019-10-27 12:23:00,"""The world has made incredible progress toward the goal to #endpolio thanks to partners like @MohamedBinZayed and the UAE. https://t.co/80j0A3MyJg""",2019-10-24 18:34:00,"""Melinda and I feel pressure to make every dollar and every day count, which is why we say no to a lot more opportunities than we say yes to. Working with partners around the world to #EndPolio has been a fight worth every dollar. https://t.co/a3gcP3M2HV""",2019-10-23 23:00:00,"""Congrats to the 2019 winners of the @NobelPrize in chemistry! Few inventions have changed our lives as much as the battery, and the quest to build a better one is an important step in the fight against climate change. https://t.co/8XrKz2Zw1s""",2019-10-22 14:05:00,"""The world’s poorest people often rely on farming both to feed their families and to earn an income. They will be among the first to face the effects of climate change. I’m excited about innovations aimed at addressing this problem: https://t.co/H7KrSXFo4b https://t.co/1QJg3gyJZY""",2019-10-20 23:10:00,,,,,,,,,,
27/10/2019,03/11/2019,"['watch', 'death', 'child']",2,"""We have cut the number of child deaths in half over the last 20 years. New tools like these precision maps from 
@IHME_UW will help us cut child mortality in half again by 2030.  https://t.co/9XfRu6WuLK""",2019-11-01 14:29:00,"""I always like to try out a new TV show or two when I’m on the road. What should I watch next? I set up an Ask on @Likewise to collect your recommendations. https://t.co/6Knu7M3wyO""",2019-10-29 23:41:00,,,,,,,,,,,,,,,,
04/11/2019,11/11/2019,"['fight', 'love', 'watch', 'hope', 'patient', 'respect', 'helpless']",4,"""The more I’ve learned about Alzheimer’s disease, the more I’ve come to admire the volunteers who participate in clinical trials, and their caregivers too. Here’s a way you can help fight Alzheimer’s: https://t.co/isfZoyZFPU https://t.co/rS27wglMOJ""",2019-11-10 17:24:00,"""Expanding the diversity of therapies in the pipeline and more efficiently recruiting patients for clinical trials will increase our odds of discovering a breakthrough. I’m hopeful it will lead to an intervention that reduces the impact of Alzheimer’s. https://t.co/j8DZbeUp8F""",2019-11-08 18:28:00,"""@ewarren I greatly respect your commitment to finding ways to address wealth inequality and poverty at home. While we may disagree about some of the ways to get there, we certainly agree we need a lot of smart people committed to finding the path forward.""",2019-11-07 14:53:00,"""One of the many awful things about watching someone you love struggle with Alzheimer’s is the feeling of helplessness. You keep thinking that there must be something more you can do. Here's one option. https://t.co/TQ1Z0lYCkN""",2019-11-06 01:53:00,,,,,,,,,,,,
12/11/2019,19/11/2019,"['fight', 'progress', 'child', 'safe']",3,"""Some of our most vital partners in the fight to #EndPolio are philanthropies like @alwaleed_philan, @bloombergdotorg, Tahir Foundation, Dalio Philanthropies &amp; Ningxia Yanbao Charity Foundation. Their support has helped deliver vaccines and protect millions from polio paralysis. https://t.co/w6yUlN1CwX""",2019-11-20 04:43:00,"""Even a single child paralyzed by polio is one too many, but I’m optimistic that we will eradicate the disease thanks to the GPEI’s persistence and creativity. https://t.co/olGWetQPSN""",2019-11-20 01:25:00,"""@narendramodi .@narendramodi's leadership has been a catalyst to India's progress on improving health, nutrition and ensuring safe sanitation practices for many. @PMOIndia""",2019-11-18 18:18:00,,,,,,,,,,,,,,
20/11/2019,27/11/2019,"['leader', 'doctor']",2,"""Dr. LeAndrea Ware is one of the most energetic school leaders I’ve ever met. Her positivity is infectious. It’s no wonder she was recently named the Tennessee principal of the year: https://t.co/wGwZju8qS7 https://t.co/SmZDJNXzvL""",2019-11-25 22:06:00,"""We’re getting closer to having a blood test for Alzheimer’s – which could help doctors detect and diagnose the disease earlier: https://t.co/L6m5WYhova https://t.co/AyR2EqyEHO""",2019-11-25 02:50:00,,,,,,,,,,,,,,,,
28/11/2019,05/12/2019,"['progress', 'treat']",2,"""This #WorldAIDSDay, I’m excited about breakthroughs in treating and preventing HIV thanks to organizations like the @GlobalFund. https://t.co/Sm5dUhTR2A""",2019-12-01 12:47:00,"""The world has made incredible strides toward ending the AIDS epidemic over the last twenty years, and I’m optimistic that more progress is on the way. Explore the data: https://t.co/uQ05HXrrPL #WorldAIDSDay""",2019-12-01 02:34:00,,,,,,,,,,,,,,,,
06/12/2019,13/12/2019,"['save', 'good', 'holiday']",3,"""Here are two amazing statistics: primary health care interventions could save 60 million lives in low-and middle-income countries and increase average life expectancy by 3.7 years by 2030: https://t.co/VfDzACwTNu #HealthForAll https://t.co/tQTEyIaQj3""",2019-12-12 16:52:00,"""Diane Tavenner had a simple but very ambitious goal: “We wanted to teach kids not just what they needed to get into college, but what they needed to live a good life.” You can read an excerpt from her wonderful new book on my blog. https://t.co/hYwdeNFTPM""",2019-12-11 18:30:00,"""I’ve read a lot of great books this year. Here are some I think you’ll enjoy reading over the holidays. https://t.co/YOpc07Qv3T""",2019-12-10 19:21:00,,,,,,,,,,,,,,
14/12/2019,21/12/2019,"['time', 'hope', 'honest', 'truth']",2,"""I’ve read a lot of books about history over the years, and These Truths by Jill Lepore is the most honest and unflinching account of the American story I’ve ever seen. It’s also one of the most beautifully written. https://t.co/fYfIFLrmrq""",2019-12-18 15:17:00,"""December is a great time to take stock of everything you’ve done over the last twelve months—including all of the books you’ve read. I found these books to be really clever and engaging. I hope you them find as intriguing as I did: https://t.co/xKdpvoXbvR https://t.co/XZguGFYssO""",2019-12-16 17:44:00,,,,,,,,,,,,,,,,
22/12/2019,06/01/2020,"['fight', 'progress', 'good']",3,"""Solving the world’s toughest challenges—like fighting the worst impacts of climate change—requires lots of new ideas and talented people working across many fields. I’m glad to see this effort to support this important work. https://t.co/eeFpmXtgv9""",2020-01-06 01:39:00,"""Progress isn’t always easy to see. These charts show some of the ways that the world is getting better. https://t.co/gIh6czCZPs""",2020-01-05 15:24:00,"""If your New Year’s resolution is to be healthier in 2020, this book is a good place to start. https://t.co/Fu5isRsAHd""",2020-01-02 17:56:00,,,,,,,,,,,,,,
07/01/2020,14/01/2020,['birthday'],1,"""Thanks to the work of this father–daughter dynamic duo, Bangladesh is moving toward a future of fewer disease outbreaks and more children reaching their fifth birthday. https://t.co/mMXuxNnnYf""",2020-01-14 19:30:00,,,,,,,,,,,,,,,,,,
15/01/2020,22/01/2020,"['save', 'child']",2,"""For twenty years, @gavi has worked to ensure that every child in the world is protected from preventable diseases. The results are incredible. But their work is far from done. https://t.co/PI6xkfY5fL""",2020-01-22 15:32:00,"""It’s encouraging to see these results. Typhoid is especially deadly for young children, and a vaccine like this has the potential to save millions of lives. https://t.co/2CgV8kCLLm""",2020-01-15 18:48:00,,,,,,,,,,,,,,,,
